Timestamp,Voltage (V),Current (A),Power (W)
2025-06-11 22:51:40,0.757,0.137,0.104
2025-06-11 22:51:41,0.757,0.137,0.103
2025-06-11 22:51:42,0.757,0.139,0.105
2025-06-11 22:51:43,0.757,0.138,0.105
2025-06-11 22:51:44,0.757,0.138,0.105
2025-06-11 22:51:45,0.758,0.141,0.107
2025-06-11 22:51:47,0.758,0.138,0.105
2025-06-11 22:51:48,0.758,0.136,0.103
2025-06-11 22:51:49,0.757,0.141,0.107
2025-06-11 22:51:50,0.757,0.138,0.105
2025-06-11 22:51:51,0.758,0.14,0.106
2025-06-11 22:51:53,0.758,0.138,0.105
2025-06-11 22:51:54,0.758,0.139,0.105
2025-06-11 22:51:55,0.758,0.137,0.104
2025-06-11 22:51:56,0.757,0.141,0.106
2025-06-11 22:51:57,0.757,0.139,0.105
2025-06-11 22:51:59,0.757,0.139,0.105
2025-06-11 22:52:00,0.755,0.139,0.105
2025-06-11 22:52:01,0.744,0.139,0.103
2025-06-11 22:52:02,0.722,0.141,0.102
2025-06-11 22:52:03,0.735,0.139,0.102
2025-06-11 22:52:05,0.757,0.137,0.104
2025-06-11 22:52:06,0.756,0.14,0.106
2025-06-11 22:52:07,0.756,0.14,0.106
2025-06-11 22:52:08,0.757,0.14,0.106
2025-06-11 22:52:09,0.757,0.14,0.106
2025-06-11 22:52:11,0.758,0.139,0.106
2025-06-11 22:52:12,0.758,0.139,0.105
2025-06-11 22:52:13,0.758,0.141,0.107
2025-06-11 22:52:14,0.757,0.139,0.105
2025-06-11 22:52:15,0.758,0.138,0.104
2025-06-11 22:52:17,0.758,0.14,0.106
2025-06-11 22:52:18,0.757,0.14,0.106
2025-06-11 22:52:19,0.757,0.139,0.105
2025-06-11 22:52:20,0.756,0.14,0.106
2025-06-11 22:52:21,0.758,0.138,0.104
2025-06-11 22:52:23,0.757,0.138,0.105
2025-06-11 22:52:24,0.757,0.137,0.104
2025-06-11 22:52:25,0.757,0.14,0.106
2025-06-11 22:52:26,0.757,0.138,0.104
2025-06-11 22:52:27,0.758,0.139,0.106
2025-06-11 22:52:29,0.757,0.138,0.105
2025-06-11 22:52:30,0.757,0.14,0.106
2025-06-11 22:52:31,0.756,0.137,0.104
2025-06-11 22:52:32,0.758,0.139,0.105
2025-06-11 22:52:33,0.758,0.139,0.106
2025-06-11 22:52:35,0.758,0.14,0.106
2025-06-11 22:52:36,0.757,0.139,0.105
2025-06-11 22:52:37,0.757,0.139,0.106
2025-06-11 22:52:38,0.756,0.14,0.106
2025-06-11 22:52:39,0.753,0.141,0.106
2025-06-11 22:52:41,0.738,0.139,0.103
